"{year, month, day, Nxz, Ny, Re, r/R, lfi, F(r), Coriolis, mvx, \[Delta]mvx, mvy, \[Delta]mvy, mvz, \[Delta]mvz, Evx, \[Delta]Evx, Evy, \[Delta]Evy, Evz, \[Delta]Evz, m\[Phi], \[Delta]m\[Phi]}, comment"
{2006, 6, 9, 80, 10, 1, 0.25, 1., 1, 0, 0.0034271, 0, 0.99133, 0, 0.0018322, 0, 0.000022851688451723857, 0, 3.6150559087569056, 0, 7.691199488940188e-6, 0, 0.0009310339250781274, 0.00004674856707812823, "ErrScale 1e-4"}
{2006, 6, 28,80, 30, 1, 0.25, 1., 1, 0, 0.0034271, 0, 0.99133, 0, 0.0018322, 0, 0.000024544405215313412, 0, 3.882837680644027, 0, 8.26091765625725e-6, 0, 0.0009310339250781274, 0.00004674856707812827, "ErrScale 1e-4"}
{2006, 7, 26,128, 5,10, 0.25, 1., 1, 0, 0.033623, 0.00001, 0.98349, 0.00005, 0.017852, 0.00001, 0.0019745228271164086, 1e-7, 3.210795401939845, 0.0001, 0.0006650855719434291, 1e-7, 0.009146077087554931, 0.00027652942395324455, "ErrScale 1e-4"}
{2006, 7, 26,128, 5,20, 0.25, 1., 1, 0, 0.063215, 0.0005, 0.9606, 0.005, 0.033056, 0.0005, 0.007079292944340656, 0.00001, 3.116864005743144, 0.005, 0.002386585337316463, 5e-6, 0.01735214834197998, 0.0005231962453308063, "ErrScale 1e-4"}
{2006, 8, 10,128, 5,30, 0.25, 1., 1, 0, 0.085072, 0.001, 0.92543, 0.005, 0.04383, 0.0005, 0.013154786610839417, 0.00005, 2.96306264310295, 0.005, 0.004446244734581447, 0.00002, 0.02371212151992797, 0.0007095348233032272, "ErrScale 1e-4"}
{2006, 9, 1, 128, 5,40, 0.25, 1., 1, 0, 0.098511, 0.001, 0.88506, 0.002, 0.05041, 0.0005, 0.018277598404918244, 0.00005, 2.782002862919679, 0.002, 0.006205006105366505, 0.00001, 0.02799484785293579, 0.000827182613067634, "ErrScale 1e-4"}
{2006, 9, 12,128, 5,50, 0.25, 1., 1, 0, 0.10545, 0.0002, 0.84529, 0.001, 0.054209, 0.0001, 0.021842973169567268, 0.00003, 2.6040378170189338, 0.0015, 0.007457158087617223, 0.000015, 0.030627227406311037, 0.0008960339240112387, "ErrScale 1e-4"}
{2006, 10,16,128,5,100, 0.25, 1., 1, 0, 0.10111, 0.001, 0.70058, 0.005, 0.061538, 0.001, 0.025721298191996825, 0.0001, 1.9916319848535364, 0.01, 0.009050759507066991, 0.00003, 0.0332691689163208, 0.0010562827838134677, "ErrScale 1e-4"}
{2007, 6, 29, 128, 5, 1, 0.25, 1., r, 0, 0.0034275, 0.0002, 0.99502, 0.01, 0.0017912, 0.00005, 0.000020569080878254952, 1e-6, 3.2849535733271846, 0.01, 6.925910016187045e-6, 2e-7, 0.000935268256515503, 0.000028288642243957866, "ErrScale 1e-4"}
{2007, 6, 30, 128, 5, 1, 0.2, 1., r, 0, 0.002756, 2e-6, 0.99698, 0.0001, 0.0014108, 1e-6, 0.000013294680019243911, 2e-9, 3.293428474754656, 0.00002, 4.446920076371228e-6, 2e-9, 0.0007428462025909425, 0.00003576365628051743, "ErrScale 1e-4"}
{2007, 7, 1, 128, 5, 1, 0.15, 1., r, 0, 0.0020742, 0.00001, 0.99834, 0.0001, 0.0010407, 1e-6, 7.5319175371468165e-6, 1e-9, 3.298639963719722, 0.00002, 2.508353627463404e-6, 2e-9, 0.0005524791430816648, 0.00005358199328613284, "ErrScale 1e-4"}
{2007, 7, 3, 128, 5, 1, 0.1, 1., r, 0, 0.0013864, 2e-6, 0.99932, 8e-6, 0.00068199, 3e-7, 3.365460396804728e-6, 3e-10, 3.301603828175533, 6e-6, 1.1184359992168491e-6, 2e-10, 0.000364970981137085, 0.000053556526307816956, "ErrScale 1e-4"}
{2007, 7, 3, 128, 5, 1, 0.2, 1., r, 0, 0.002756, 2e-9, 0.99698, 2e-8, 0.0014108, 1e-10, 0.000013294757263495733, 1e-13, 3.2934327787130915, 2e-9, 4.446896120004636e-6, 4e-14, 0.000742838332260132, 0.000035764775054931576, "ErrScale 1e-4"}
{2007, 7, 6, 128, 5, 1, 0.2, 1., 1, 0, 0.0027548, 1e-6, 0.99442, 0.0001, 0.0014357, 1e-6, 0.000013216756330371713, 1e-8, 3.2604435241757037, 0.0002, 4.4200013050596125e-6, 2e-9, 0.0007391210466766356, 0.00003572369818115249, "ErrScale 1e-4"}
{2007, 7, 5, 128, 5, 1, 0.15, 1., 1, 0, 0.0020737, 1e-7, 0.99691, 3e-6, 0.0010545, 2e-8, 7.502406984719192e-6, 1e-9, 3.276228677231186, 0.00001, 2.497544815254645e-6, 1e-9, 0.0005505032060241699, 0.00005356456707763659, "ErrScale 1e-4"}
{2007, 7, 19, 128, 5, 1, 0.1, 1., 1, 0, 0.0013863, 1e-7, 0.9987, 3e-6, 0.00068811, 1e-7, 3.3576949065886743e-6, 1e-10, 3.288206914322029, 0.00001, 1.115416194389322e-6, 1e-10, 0.0018060954524536134, 0.0003566821984558104, "ErrScale 1e-4"}
{2008, 5, 16, 10, 3, 1, 0.25, 1, 1, 0, 0.0034773, 4e-8, 0.99565, 1e-6, 0.0020589, 5e-8, 0.0016337480437336363, 4e-10, 0.584343908857404, 1e-7, 0.0009543409667461624, 2e-10, 0.001057769333333335, 0.0005478600000000012, "ErrScale 1e-5"}
{2008, 5, 16, 10, 3, 2, 0.25, 1, 1, 0, 0.0069499, 3e-6, 0.99531, 1e-6, 0.0041146, 3e-6, 0.003265666210608743, 1e-6, 0.5842410681444775, 0.00001, 0.0019075942034477615, 1e-6, 0.0021145553333333364, 0.0010950466666666688, "ErrScale 1e-5"}
{2008, 5, 16, 10, 3, 3, 0.25, 1, 1, 0, 0.010477, 0.001, 0.99469, 0.0001, 0.0061987, 0.001, 0.004894351049947659, 0.0001, 0.5840402155546311, 0.00001, 0.0028532136618188973, 0.0001, 0.0021145553333333364, 0.0010950466666666688, "ErrScale 1e-5"}
{2008, 5, 19, 9, 20, 4, 0.25, 1, 1, 0, 0.024248, 0.00001, 1.0225, 0.00003, 0.011999, 5e-6, 0.009514709191525432, 0.0001, 0.5782182005814269, 0.003, 0.005959397272040428, 0.0001, 0.007656233968960006, 0.010877135214920008, "ErrScale 1e-4"}
{2008, 5, 14, 10, 5, 1, 0.25, 1, 1, 0, 0.0034773, 1e-8, 0.99565, 1e-6, 0.002059, 1e-8, 0.00163375, 5e-7, 0.584344, 2e-6, 0.0009543501, 1e-7, 0.0010577742727272744, 0.0005478525454545467, "ErrScale 1e-4"}
{2008, 5, 14, 10, 5, 3, 0.25, 1, 1, 0, 0.010414, 2.e-7, 0.99475, 3.e-6, 0.006164, 2.e-7, 0.00486823560072387, 0.00003, 0.5828951270051046, 2.e-7, 0.002814955842465831, 0.00004, 0.0031693281818181863, 0.001640942909090913, "ErrScale 1e-4"}
