"{year, month, day, Nxz, Re, r/R, gamma, F(r), Coriolis, shift, mvx, \[Delta]mvx, mvy, \[Delta]mvy, mvz, \[Delta]mvz, Evx, \[Delta]Evx, Evy, \[Delta]Evy, Evz, \[Delta]Evz, m\[Psi], \[Delta]m\[Psi]}, comment"
{2009, 2, 3, 128, 30, 0.2, 0.0001, "dp", 0, 0.08017510339961038, 0.07326352552075496, 4.e-6, 0.9486092896921523, 1.e-7, 0.037145835212284414, 0.00001, 0.0007632509246634467, 4.e-8, 0.24325922978044187, 8.e-8, 0.000257647138497151, 8.e-8, 0.021283459610025, 0.0043333946875, "ErrScale 1e-4"}
{2009, 2, 3, 128, 30, 0.3, 0.0001, "dp", 0, 0.06404591965515656, 0.101358, 0.00005, 0.910724, 0.00002, 0.0545402, 0.0006, 0.001473111990470067, 1.e-6, 0.231812, 0.00001, 0.000498107, 1.e-6, 0.03036084130055, 0.0086890590625, "ErrScale 1e-4"}
{2009, 2, 3, 128, 30, 0.4, 0.0001, "dp", 0, 0.05930545704925701, 0.1218703135941767, 0.0001, 0.8675428163742456, 5.e-6, 0.06970802120670225, 0.0008, 0.00215264503656235, 2.e-6, 0.21748075655265323, 3.e-6, 0.0007361706061762011, 3.e-6, 0.0377329111407, 0.01392177531249997, "ErrScale 1e-4"}
{2009, 2, 3, 128, 30, 0.5, 0.0001, "dp", 0, 0.07382063144415417, 0.13242241670884872, 0.0001, 0.8176619003050503, 1.e-6, 0.08061947936418502, 0.0004, 0.0025929455251920016, 1.e-6, 0.19961350939030542, 3.e-6, 0.0009180723145468993, 2.e-6, 0.042620884555875, 0.019246131250000006, "ErrScale 1e-4"}
{2009, 2, 5, 128, 40, 0, 0.0001, "dp", 0, 0, 0., 0, 1.0000471619282711, 5.e-6, 0, 0, 0., 0, 0.2619325089051708, 7.e-8, 0., 0, 0, 0, "ErrScale 1e-4"}
{2009, 2, 3, 128, 40, 0.1, 0.0001, "dp", 0, 0.028720852928911404, 0.023031684759833342, 5.e-6, 0.7445159877653796, 3.e-7, 0.011275672964937452, 5.e-6, 0.00007411085777045943, 1.e-8, 0.14600868673089173, 6.e-7, 0.00002482826510016178, 9.e-9, 0.006482671801325, 0.0007770612500000015, "ErrScale 1e-4,wrong"}
{2009, 2, 6, 128, 40, 0.1, 0.0001, "dp", 0, 0.08400505010419827, 0.05178455031985711, 1.e-6, 0.9731803733451875, 1.e-6, 0.024965333943376623, 2.e-6, 0.0003785952535547322, 5.e-10, 0.2525741717958389, 5.e-7, 0.00012644503709154513, 2.e-9, 0.014633901118424997, 0.001787207187499998, "ErrScale 1e-4"}
{2009, 2, 7, 128, 40, 0.2, 0.0001, "dp", 0, 0.1308529588222877, 0.08960197247123068, 1.e-6, 0.9179135894858623, 7.5e-7, 0.04514350072119998, 1.e-6, 0.0011670263360233288, 5.e-9, 0.23415654602616254, 4.e-7, 0.0003919410729980808, 5.e-9, 0.026260465191625, 0.005392071093750007, "ErrScale 1e-4"}
{2009, 3, 12,128, 40, 0.1, 0.0001, "dp", 0, 0.08465629680340703, 0.05155727045062554, 0.00001, 0.9715041836007478, 0.00003, 0.024874813220433178, 8.e-6, 0.00037534091244204737, 8.e-8, 0.25175677987476885, 0.000015000000000000002, 0.00012535567183177417, 2.e-8, 0.014684735250249999, 0.0017936226562500057, "ErrScale 1e-4"}
{2009, 3, 12,128, 40, 0.2, 0.0001, "dp", 0, 0.152735494573456, 0.08771346611752635, 3.e-6, 0.9148454436832493, 2.e-7, 0.04394720889527272, 6.e-6, 0.0011214157300645014, 3.e-8, 0.23096807945702358, 8.e-8, 0.0003791777569773874, 5.e-8, 0.0257685202684, 0.005304735156250005, "ErrScale 1e-4"}
{2009, 3, 25, 128, 40, 0.3, 0.0001, "dp", 0, 0.14830476205445856, 0.11534540069781747, 3.e-7, 0.8601095998722004, 3.e-7, 0.06166040735692891, 2.e-7, 0.001988663866913053, 5.e-9, 0.21571358979003954, 2.e-7, 0.0006735046858120406, 2.e-9, 0.03510509562149999, 0.01014244468749999, "ErrScale 1e-4"}
{2009, 4, 14, 128, 40, 0.4, 0.0001, "dp", 0, 0.14803898059204723, 0.133340777701526, 0.0004, 0.8070869059138032, 9.e-6, 0.07630054908026657, 0.0003, 0.002716300778783366, 3.e-6, 0.19924737726602498, 5.e-6, 0.0009308398562069811, 3.e-6, 0.042150291267800004, 0.015666504687500003, "ErrScale 1e-4"}
{2009, 4, 14, 128, 40, 0.5, 0.0001, "dp", 0, 0.13662914768203874, 0.14623872720322606, 0.0009, 0.7597795878011889, 4.e-6, 0.09019603169554478, 0.0004, 0.003318660991470551, 7.e-6, 0.18470498047251313, 3.e-6, 0.0011556511454291708, 7.e-6, 0.04806159002220001, 0.021871537500000003, "ErrScale 1e-4"}
{2009, 2, 5, 128, 20, 0.1, 0.0001, "dp", 0, -0.004863171648524364, 0.027485962130784556, 4.e-6, 0.9948013344149479, 0.00005, 0.013610834419287761, 2.e-6, 0.00010512827464842914, 3.e-8, 0.25993809603446777, 0.00002, 0.000035087701578073175, 1.e-8, 0.007722155415499999, 0.0009200285937500008, "ErrScale 1e-4"}
{2009, 2, 16, 128, 20, 0.2, 0.0001, "dp", 0, -0.011932814574844472, 0.053388139241082745, 0.00001, 0.9801348415188276, 0.0001, 0.027740311706273516, 0.00001, 0.0003965754962342977, 3.e-7, 0.25441994779295024, 0.00006, 0.0001329961100953069, 9.e-8, 0.015383966190224996, 0.0030932554531249994, "ErrScale 1e-4"}
{2009, 2, 18, 128, 20, 0.3, 0.0001, "dp", 0, -0.02345963155094181, 0.0767697158479757, 2.e-7, 0.958927980065115, 6.e-7, 0.04202654251027587, 1.e-7, 0.0008189165978022315, 3.e-9, 0.24641531930679542, 3.e-7, 0.0002769065763036467, 1.e-9, 0.022698485626300002, 0.006437440296875006, "ErrScale 1e-4"}
{2009, 2, 18, 128, 20, 0.4, 0.0001, "dp", 0, -0.039013775280163414, 0.09715251247037826, 2.e-8, 0.9330200776524354, 5.e-8, 0.056339382513989296, 6.e-8, 0.001306683047256146, 5.e-10, 0.23648058844032702, 3.e-8, 0.00044723551886479025, 3.e-10, 0.029550524789525, 0.010825150468750008, "ErrScale 1e-4"}
{2009, 2, 18, 128, 20, 0.5, 0.0001, "dp", 0, -0.05985862335695947, 0.11463334788710469, 1.e-8, 0.9046513360194596, 3.e-8, 0.07082820101191077, 6.e-9, 0.001806001837259875, 3.e-10, 0.2254140160367282, 2.e-8, 0.0006285289774160201, 1.e-10, 0.03594404939515001, 0.01616643156249999, "ErrScale 1e-4"}
{2009, 2, 18, 128, 50, 0, 0.0001, "dp", 0, 0, 0., 0, 1.0000467538140043, 7.e-8, 0., 0, 0., 0, 0.2619323609628619, 3.e-8, 0., 0, 0, 0, "ErrScale 1e-4"}
