16 processors ended work (391 iterations,0.200076 simsec) in 54.4435 seconds, mesh=60x60x60
24 processors ended work (391 iterations,0.200076 simsec) in 46.1176 seconds, mesh=60x60x60
25 processors ended work (391 iterations,0.200076 simsec) in 38.8818 seconds, mesh=60x60x60
36 processors ended work (391 iterations,0.200076 simsec) in 34.3682 seconds, mesh=60x60x60
64 processors ended work (391 iterations,0.200076 simsec) in 17.9415 seconds, mesh=60x60x60
128 processors ended work (391 iterations,0.200076 simsec) in 16.68 seconds, mesh=60x60x60
256 processors ended work (391 iterations,0.200076 simsec) in 10.257 seconds, mesh=60x60x60
1 processors ended work (80 iterations,0.0100096 simsec) in 1460.89 seconds, mesh=120x120x120
2 processors ended work (80 iterations,0.0100096 simsec) in 667.647 seconds, mesh=120x120x120
3 processors ended work (80 iterations,0.0100096 simsec) in 460.632 seconds, mesh=120x120x120
4 processors ended work (80 iterations,0.0100096 simsec) in 336.962 seconds, mesh=120x120x120
5 processors ended work (80 iterations,0.0100096 simsec) in 327.256 seconds, mesh=120x120x120
6 processors ended work (80 iterations,0.0100096 simsec) in 241.749 seconds, mesh=120x120x120
7 processors ended work (80 iterations,0.0100096 simsec) in 234.316 seconds, mesh=120x120x120
8 processors ended work (80 iterations,0.0100096 simsec) in 177.234 seconds, mesh=120x120x120
9 processors ended work (80 iterations,0.0100096 simsec) in 156.896 seconds, mesh=120x120x120
10 processors ended work (80 iterations,0.0100096 simsec) in 168.82 seconds, mesh=120x120x120
12 processors ended work (80 iterations,0.0100096 simsec) in 133.129 seconds, mesh=120x120x120
16 processors ended work (80 iterations,0.0100096 simsec) in 94.5837 seconds, mesh=120x120x120
24 processors ended work (80 iterations,0.0100096 simsec) in 68.1145 seconds, mesh=120x120x120
25 processors ended work (80 iterations,0.0100096 simsec) in 66.6567 seconds, mesh=120x120x120
36 processors ended work (80 iterations,0.0100096 simsec) in 52.4352 seconds, mesh=120x120x120
64 processors ended work (80 iterations,0.0100096 simsec) in 29.8241 seconds, mesh=120x120x120
128 processors ended work (80 iterations,0.0100096 simsec) in 17.1792 seconds, mesh=120x120x120
256 processors ended work (80 iterations,0.0100096 simsec) in 11.7601 seconds, mesh=120x120x120
