"{year, month, day, Nxz, Ny, TDV, Re, ksi, chi, r/R, lfi, wall, Rvac, etawall, Rm, m, n, gamma, \[Delta]gamma, omega, \[Delta]omega, kalibr+BC}"
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 10.471975511965978, 0, 2, 1, 438, 1, 0.5, 0., 0.2, 73.3, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 11.423973285781065, 0, 2, 1, 398.5, 1, 1, 0., 0.05, 54.4, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 2*Pi, 0, 2, 1, 307, 1, 1, 0., 0.05, 87, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 6.613879270715354, 0, 2, 1, 289, 1, 1, 0., 0.2, 71, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 6.981317007977318, 0, 2, 1, 271, 1, 1, 0., 0.2, 62, 0.2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 7.391982714328925, 0, 2, 1, 254.864, 1, 1, 0., 0.005, 51.183, 0.002, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 7.853981633974483, 0, 2, 1, 239.43, 1, 1, 0., 0.0001, 41.72, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 8.377580409572781, 0, 2, 1, 225.0529, 1, 1, 0., 0.0001, 33.455, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 8.975979010256552, 0, 2, 1, 211.7164, 1, 1, 0., 0.00001, 25.93, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 9.66643893412244, 0, 2, 1, 199.4829, 1, 1, 0., 0.00001, 20.2352, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 10.471975511965978, 0, 2, 1, 188.6526, 1, 1, 0., 0.00001, 15.1415, 0.0001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 11.423973285781065, 0, 2, 1, 179.8309, 1, 1, 0., 0.00001, 10.968, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 12.566370614359172, 0, 2, 1, 172.9098, 1, 1, 0., 0.0001, 7.6032, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 13.962634015954636, 0, 2, 1, 270.99, 1, 1, -0.11, 0.05, 6.1, 0.2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 13.962634015954636, 0, 2, 1, 270.99, 2, 1, 0., 0.05, 70, 20, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 15.707963267948966, 0, 2, 1, 239.51, 2, 1, 0., 0.003, 44, 10, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 17.951958020513104, 0, 2, 1, 211.7126, 2, 1, 0., 0.0001, 26.3, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 2*Pi, 0, 2, 1, 415, 1, 0.5, 0., 0.2, 134, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 6.613879270715354, 0, 2, 1, 375, 1, 0.5, 0., 0.01, 113, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 6.981317007977318, 0, 2, 1, 347, 1, 0.5, 0., 0.05, 94, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 7.391982714328925, 0, 2, 1, 329, 1, 0.5, 0., 0.1, 79, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 7.853981633974483, 0, 2, 1, 309, 1, 1, 0., 0.02, 63.9, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 8.377580409572781, 0, 2, 1, 287.46, 1, 1, 0., 0.005, 51.6, 0.2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 8.975979010256552, 0, 2, 1, 267.831, 1, 1, 0., 0.0005, 40.95, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 9.66643893412244, 0, 2, 1, 249.6539, 1, 1, 0., 0.0001, 31.8, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 10.471975511965978, 0, 2, 1, 232.9295, 1, 1, 0., 0.0001, 24.07, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 11.423973285781065, 0, 2, 1, 217.81, 1, 1, 0., 0.0001, 17.6514, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 12.566370614359172, 0, 2, 1, 204.9253, 1, 1, 0., 0.0001, 12.4595, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 13.962634015954636, 0, 2, 1, 194.6232, 1, 1, 0., 0.0001, 8.35863, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 15.707963267948966, 0, 2, 1, 317.9965, 2, 1, 0., 0.1, 66.5, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.7, 0.25, 17.951958020513104, 0, 2, 1, 267.8433, 2, 1, 0., 0.1, 41, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 2*Pi, 0, 2, 1, 660.27, 1, 0.5, 0., 0.001, 243.1, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 6.613879270715354, 0, 2, 1, 579.4, 1, 0.5, 0., 0.05, 194, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 6.981317007977318, 0, 2, 1, 520, 1, 1, 0., 0.5, 155, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 7.391982714328925, 0, 2, 1, 458, 1, 0.5, 0., 0.02, 128, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 7.853981633974483, 0, 2, 1, 416, 1, 0.5, 0., 0.02, 104.5, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 8.377580409572781, 0, 2, 1, 386.6, 1, 0.5, 0., 0.5, 85, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 8.975979010256552, 0, 2, 1, 360, 1, 1, 0., 0.2, 66, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 9.66643893412244, 0, 2, 1, 332.96, 1, 1, 0., 0.005, 52.66, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 10.471975511965978, 0, 2, 1, 306.64, 1, 1, 0., 0.001, 40.28, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 11.423973285781065, 0, 2, 1, 282.67, 1, 1, 0., 0.0002, 30, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 12.566370614359172, 0, 2, 1, 260.8687, 1, 1, 0., 0.0001, 21.478, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 13.962634015954636, 0, 2, 1, 241.682, 1, 1, 0., 0.0001, 14.7, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 15.707963267948966, 0, 2, 1, 226.1394, 1, 1, 0., 0.0001, 9.4913, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.6, 0.25, 17.951958020513104, 0, 2, 1, 357, 2, 1, 0., 0.1, 14.5, 0.4, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 2*Pi, 0, 2, 1, 172.1026, 1, 1, 0., 0.0001, 32.5, 3.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 6.613879270715354, 0, 2, 1, 164.6868, 1, 1, 0., 0.0001, 26.7745, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 6.981317007977318, 0, 2, 1, 157.8495, 1, 1, 0., 0.0001, 22.0589, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 7.391982714328925, 0, 2, 1, 151.7271, 1, 1, 0., 0.0001, 17.923, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 7.853981633974483, 0, 2, 1, 146.6037, 1, 1, 0., 0.0001, 14.2396, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 8.377580409572781, 0, 2, 1, 142.995, 1, 1, 0., 0.001, 11.2806, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 8.975979010256552, 0, 2, 1, 141.808, 1, 1, 0., 0.001, 8.70108, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 9.66643893412244, 0, 2, 1, 226.15, 1, 1, -1, 1, 8, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 9.66643893412244, 0, 2, 1, 226.15, 2, 1, 0., 0.05, 100, 100, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 10.471975511965978, 0, 2, 1, 206, 2, 0.5, 0., 0.05, 60, 15, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 11.423973285781065, 0, 2, 1, 188.4916, 2, 0.5, 0., 0.001, 30, 30, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 12.566370614359172, 0, 2, 1, 171.1, 2, 0.5, 0., 0.0001, 31.927, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 13.962634015954636, 0, 2, 1, 157.8477, 2, 0.5, 0., 0.0001, 22, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 15.707963267948966, 0, 2, 1, 146.6032, 2, 0.5, 0., 0.0001, 14.339, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.1, 0.25, 17.951958020513104, 0, 2, 1, 180.0079, 3, 0.5, 0., 0.0001, 38.5, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.2, 0.25, 2*Pi, 0, 2, 1, 151.4379, 1, 1, 0., 0.0001, 24.1563, 0.01, "homogen"}
